generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.4378,-8128.84,500,1
20000,1,-27.9607,939.769,1.00889,0.478333
40000,1,-28.1521,997.309,0.755621,0.505
60000,2,-46.5255,1071.1,2.84574,0.517
80000,3,-56.988,1071.04,5.14041,0.553
100000,2,-44.304,1067.51,4.67678,0.527391
120000,5,-82.6091,1165.56,5.22841,0.515
140000,6,-96.0429,1165.48,1.80888,0.538
160000,3,-59.5245,1147.48,5.96,0.517
180000,3,-57.9961,1143.54,0.837997,0.496
200000,7,-105.564,1170.5,7.63531,0.56
220000,6,-92.2421,1164.33,11.4735,0.559
240000,9,-133.984,1223.1,15.1779,0.542
260000,9,-127.36,1129.05,7.31562,0.552
280000,5,-88.4407,1168.66,6.22208,0.505
300000,14,-187.88,1230.1,16.659,0.543444
320000,6,-94.4559,1198.4,7.83104,0.532333
340000,14,-194.51,1255.79,15.3345,0.537
360000,7,-109.582,1199.79,4.25645,0.525533
380000,12,-166.028,1194.08,11.1861,0.551
400000,6,-92.9048,1189.69,7.40248,0.477
420000,10,-155.316,1284.87,10.5829,0.522611
440000,12,-173.14,1285.3,11.7236,0.524333
460000,7,-108.414,1212.16,6.56313,0.548
480000,12,-170.885,1269.44,8.5381,0.53
500000,7,-112.167,1214.57,13.513,0.509
520000,11,-164.318,1277.35,11.9428,0.498
540000,12,-171.662,1273.68,11.422,0.509133
560000,12,-167.43,1272.11,11.4512,0.52465
580000,14,-184.876,1274.29,14.2044,0.4995
600000,11,-155.54,1276.15,16.7145,0.484
620000,16,-212.337,1309.35,15.0253,0.538111
640000,14,-185.325,1279.32,15.4007,0.512
660000,12,-170.457,1314.24,7.79313,0.509
680000,13,-179.41,1297.49,18.3114,0.545625
700000,13,-189.788,1295.87,17.0603,0.514
720000,13,-183.611,1277.6,15.4987,0.503714
740000,12,-180.418,1299.98,11.6631,0.519
760000,12,-167.018,1272.98,10.1854,0.527
780000,10,-137.975,1273.5,7.39257,0.469
800000,13,-185.597,1284.54,9.44132,0.5092
820000,10,-154.525,1282.22,15.6999,0.503
840000,10,-141.405,1289.03,9.26836,0.49
860000,13,-178.764,1312.84,13.7934,0.481
880000,18,-239.579,1306.33,12.9831,0.544
900000,10,-156.307,1286.87,5.3366,0.506
920000,13,-178.503,1247.9,14.487,0.534
940000,17,-217.834,1254.74,18.1595,0.545
960000,15,-210.374,1264.21,14.6244,0.542
980000,12,-163.552,1278.63,9.19067,0.542
1000000,13,-182.985,1280.34,21.906,0.499
1020000,17,-218.972,1280.17,21.3801,0.522
1040000,13,-175.681,1259.23,6.56868,0.538647
1060000,11,-149.906,1276.26,12.6487,0.486333
1080000,13,-176.354,1287.67,13.9898,0.523667
1100000,12,-179.49,1275.07,11.5658,0.518583
1120000,11,-153.285,1284.66,14.5889,0.521
1140000,12,-158.329,1282.93,17.9062,0.526
1160000,13,-174.984,1292.94,11.516,0.512
1180000,15,-199.908,1280.9,9.99983,0.522
1200000,9,-130.272,1271.5,6.64664,0.513
1220000,10,-146.43,1275.45,12.7979,0.565
1240000,14,-185.329,1265.13,21.6457,0.52
1260000,14,-189.597,1260.08,14.567,0.509286
1280000,10,-141.269,1256.75,16.5283,0.49
1300000,15,-201.949,1268.75,8.84099,0.57
1320000,12,-173.834,1279.68,13.7091,0.518333
1340000,14,-185,1259.02,17.0046,0.500375
1360000,13,-185.63,1296.21,13.9967,0.555286
1380000,14,-194.902,1280.89,20.627,0.494133
1400000,11,-157.741,1272.19,13.98,0.518444
1420000,10,-153.872,1274.21,13.6026,0.459
1440000,13,-179.214,1289.01,10.5358,0.533
1460000,14,-194.784,1285.51,10.3886,0.539
1480000,15,-199.642,1287.15,19.451,0.559667
1500000,13,-185.716,1275.41,17.637,0.523375
1520000,14,-189.22,1297.48,17.2625,0.504714
1540000,11,-157.196,1274.36,12.4572,0.488
1560000,14,-192.424,1313.55,20.2636,0.532
1580000,18,-234.54,1292.17,23.3116,0.509
1600000,15,-201.531,1309.74,17.3961,0.518
1620000,14,-193.131,1294.64,20.9554,0.525
1640000,10,-150.057,1285.53,10.8862,0.508
1660000,12,-171.738,1283.77,9.51816,0.51075
1680000,11,-159.482,1278.12,5.5028,0.5426
1700000,18,-234.075,1277.29,20.8758,0.546667
1720000,18,-237.305,1326.26,22.2849,0.521
1740000,12,-163.017,1263.6,14.2243,0.482
1760000,14,-186.96,1278.81,17.795,0.533
1780000,18,-249.286,1327.43,20.4664,0.528
1800000,12,-159.87,1284.39,7.02937,0.514
1820000,16,-204.596,1299.31,19.0112,0.544
1840000,11,-163.338,1297.99,11.7836,0.498
1860000,19,-254.78,1290.25,20.8003,0.5585
1880000,12,-166.952,1272.66,13.1047,0.515
1900000,15,-213.867,1308.82,14.9458,0.536
1920000,12,-175.847,1298.03,10.7201,0.485
1940000,15,-202.227,1297.31,12.6351,0.543286
1960000,13,-179.253,1295.43,13.5818,0.5085
1980000,14,-192.079,1287.05,17.643,0.555
2000000,10,-145.374,1280.05,14.2731,0.520333
2020000,11,-160.872,1307.28,10.8424,0.493
2040000,14,-195.58,1307.31,14.2799,0.5435
2060000,14,-191.396,1274.7,9.85431,0.527
2080000,10,-141.594,1280.85,6.25595,0.511
2100000,13,-178.137,1300.96,10.0714,0.522179
2120000,14,-200.512,1301.27,19.0133,0.536
2140000,9,-135.249,1284.06,8.84361,0.477
2160000,12,-167.804,1267.59,8.49643,0.511
2180000,12,-166.107,1280.49,14.3213,0.54225
2200000,17,-221.821,1310.82,14.5742,0.509
2220000,12,-163.968,1285.81,22.4227,0.51
2240000,12,-162.992,1282.05,9.83254,0.5395
2260000,11,-151.825,1281.87,18.4893,0.482
2280000,14,-198.494,1320.79,18.2545,0.516056
