generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_1003,otu_1360,0,0.0454881,0,0.005,0
20000,otu_1003,otu_1360,0,10.4859,-1.32873,0.0800363,0
20000,otu_1246,NA,0.918851,10.0583,-1.47587,47.1616,0
40000,otu_1003,otu_1360,0,12.8671,-1.67803,0.0455751,0
40000,otu_5448,otu_1485,0.66951,16.0945,-2.09043,0.22534,0
60000,otu_1003,otu_1360,0,10.645,-1.52456,0.0126381,0
60000,otu_5448,otu_9229,0.684863,25.1825,-3.99019,0.0291353,0
60000,otu_4243,otu_6351,0.454969,21.4309,-3.34635,0.0154577,0
80000,otu_1003,otu_1360,0,11.966,-1.65592,0.010872,0
80000,otu_1003,otu_3311,0.539152,19.0329,-2.90087,0.457076,0
80000,otu_2061,otu_4127,0.387077,13.4511,-2.51342,1.27476,0
80000,otu_5448,otu_656,0.650572,24.7356,-3.77128,0.829058,0
100000,otu_1003,otu_1360,0,10.6258,-1.5235,0.0141517,0
100000,otu_5448,otu_656,0.65946,20.3131,-2.78861,2.27866,0
100000,otu_4243,otu_6351,0.453561,23.8147,-3.66848,0.128136,0
120000,otu_1003,otu_1360,0,13.1435,-1.86383,0.0388307,0
120000,otu_651,NA,0.955861,12.3548,0.878609,11.9913,0
120000,otu_1003,otu_3626,0.579931,20.4372,-3.73195,0.17014,0
120000,otu_5448,otu_1643,0.621066,24.8285,-2.79916,2.7973,0
120000,otu_3631,otu_403,0.68473,13.5826,-1.98009,0.442499,0
120000,otu_4243,otu_6351,0.457365,30.7398,-4.07569,0.237647,0
140000,otu_1003,otu_1360,0,12.7696,-1.94745,0.00948337,0
140000,otu_1003,otu_5346,0.568036,26.91,-4.50758,0.427136,0
140000,otu_5448,otu_4048,0.578718,22.0481,-3.39185,0.660678,0
140000,otu_3631,otu_91,0.646378,13.8606,-2.49623,2.09651,0
140000,otu_5244,NA,0.910368,31.4256,1.13281,34.3123,0
140000,otu_4243,otu_6351,0.453478,22.9655,-3.20435,1.07245,0
140000,otu_2082,NA,0.517338,7.4202,-0.865026,5.25997,0
160000,otu_1003,otu_1360,0,13.7804,-1.93912,0.0154945,0
160000,otu_1003,otu_5346,0.563703,24.6478,-4.35721,0.969843,0
160000,otu_5448,otu_656,0.658218,19.0084,-2.50422,0.521455,0
160000,otu_4243,otu_6351,0.453783,18.6141,-2.99268,0.465111,0
180000,otu_1003,otu_1360,0,12.1996,-1.79934,0.0160244,0
180000,otu_1003,otu_4920,0.520509,27.8144,-4.02014,0.441564,0
180000,otu_5448,otu_9229,0.691535,14.9979,-2.32339,0.514998,0
180000,otu_4243,otu_6351,0.462479,19.3981,-3.04653,0.799099,0
200000,otu_1003,otu_1360,0,12.6136,-1.84364,0.00714555,0
200000,otu_1003,otu_5346,0.565188,23.153,-4.23077,0.325665,0
200000,otu_7598,NA,0.764041,13.5952,0.26381,30.6663,0
200000,otu_5448,otu_7096,0.557759,11.7424,-1.32999,0.956733,0
200000,otu_3631,otu_91,0.659799,24.1228,-4.12956,2.44806,0
200000,otu_3418,NA,0.617447,0.634443,-0.892002,6.30413,0
200000,otu_4243,otu_6351,0.458393,22.7995,-3.5385,0.0154493,0
200000,otu_2382,NA,0.881689,2.11885,1.86493,0.438161,0
220000,otu_1003,otu_1360,0,12.2789,-1.81256,0.0725083,0
220000,otu_1003,otu_5346,0.571704,21.1761,-3.86513,0.112315,0
220000,otu_2061,otu_10110,0.469406,10.0695,-1.43825,0.456897,0
220000,otu_5448,otu_9229,0.694266,15.922,-1.99993,0.118469,0
220000,otu_5563,NA,0.915753,2.21077,-0.413395,11.8129,0
220000,otu_1993,NA,0.802933,5.63485,-2.12008,35.0912,0
220000,otu_4243,otu_800,0.479488,30.3208,-4.18963,0.802936,0
240000,otu_1003,otu_1360,0,13.9022,-2.09128,0.0744249,0
240000,otu_1003,otu_5346,0.557931,27.8603,-4.47231,0.00458425,0
